entity,code,year,region
Kingdom of Wurttemberg,,2023,Europe and Central Asia
Kingdom of the Two Sicilies,,2023,Europe and Central Asia
Kiribati,KIR,2023,East Asia and Pacific
Korea (former),OWID_KRU,2023,East Asia and Pacific
Kosovo,OWID_KOS,2023,Europe and Central Asia
Kuwait,KWT,2023,"Middle East, North Africa, Afghanistan and Pakistan"
Kyrgyzstan,KGZ,2023,Europe and Central Asia
Laos,LAO,2023,East Asia and Pacific
Latvia,LVA,2023,Europe and Central Asia
Lebanon,LBN,2023,"Middle East, North Africa, Afghanistan and Pakistan"
Lesotho,LSO,2023,Sub-Saharan Africa
Liberia,LBR,2023,Sub-Saharan Africa
Libya,LBY,2023,"Middle East, North Africa, Afghanistan and Pakistan"
Liechtenstein,LIE,2023,Europe and Central Asia
Lithuania,LTU,2023,Europe and Central Asia
Luxembourg,LUX,2023,Europe and Central Asia
Macao,MAC,2023,East Asia and Pacific
Madagascar,MDG,2023,Sub-Saharan Africa
Malawi,MWI,2023,Sub-Saharan Africa
Malaysia,MYS,2023,East Asia and Pacific
Maldives,MDV,2023,South Asia
Mali,MLI,2023,Sub-Saharan Africa
Malta,MLT,2023,"Middle East, North Africa, Afghanistan and Pakistan"
Marshall Islands,MHL,2023,East Asia and Pacific
Martinique,MTQ,2023,Europe and Central Asia
Mauritania,MRT,2023,Sub-Saharan Africa
Mauritius,MUS,2023,Sub-Saharan Africa
Mayotte,MYT,2023,Europe and Central Asia
Mexico,MEX,2023,Latin America and Caribbean
Micronesia (country),FSM,2023,East Asia and Pacific
Moldova,MDA,2023,Europe and Central Asia
Monaco,MCO,2023,Europe and Central Asia
Mongolia,MNG,2023,East Asia and Pacific
Montenegro,MNE,2023,Europe and Central Asia
Montserrat,MSR,2023,Europe and Central Asia
Morocco,MAR,2023,"Middle East, North Africa, Afghanistan and Pakistan"
Mozambique,MOZ,2023,Sub-Saharan Africa
Myanmar,MMR,2023,East Asia and Pacific
Namibia,NAM,2023,Sub-Saharan Africa
Nauru,NRU,2023,East Asia and Pacific
Nepal,NPL,2023,South Asia
Netherlands,NLD,2023,Europe and Central Asia
Netherlands Antilles,ANT,2023,Europe and Central Asia
New Caledonia,NCL,2023,East Asia and Pacific
New Zealand,NZL,2023,East Asia and Pacific
Nicaragua,NIC,2023,Latin America and Caribbean
Niger,NER,2023,Sub-Saharan Africa
Nigeria,NGA,2023,Sub-Saharan Africa
Niue,NIU,2023,East Asia and Pacific
Norfolk Island,NFK,2023,East Asia and Pacific
North Korea,PRK,2023,East Asia and Pacific
North Macedonia,MKD,2023,Europe and Central Asia
Northern Mariana Islands,MNP,2023,East Asia and Pacific
Norway,NOR,2023,Europe and Central Asia
Oman,OMN,2023,"Middle East, North Africa, Afghanistan and Pakistan"
Orange Free State,,2023,Sub-Saharan Africa
Pakistan,PAK,2023,"Middle East, North Africa, Afghanistan and Pakistan"
Pakistan (former),,2023,"Middle East, North Africa, Afghanistan and Pakistan"
Palau,PLW,2023,East Asia and Pacific
Palestine,PSE,2023,"Middle East, North Africa, Afghanistan and Pakistan"
Panama,PAN,2023,Latin America and Caribbean
Papua New Guinea,PNG,2023,East Asia and Pacific
Paraguay,PRY,2023,Latin America and Caribbean
Peru,PER,2023,Latin America and Caribbean
Philippines,PHL,2023,East Asia and Pacific
Pitcairn,PCN,2023,East Asia and Pacific
Poland,POL,2023,Europe and Central Asia
Portugal,PRT,2023,Europe and Central Asia
Puerto Rico,PRI,2023,Latin America and Caribbean
Qatar,QAT,2023,"Middle East, North Africa, Afghanistan and Pakistan"
Republic of Vietnam,OWID_RVN,2023,East Asia and Pacific
Reunion,REU,2023,Europe and Central Asia
Romania,ROU,2023,Europe and Central Asia
Russia,RUS,2023,Europe and Central Asia
Rwanda,RWA,2023,Sub-Saharan Africa
Saint Barthelemy,BLM,2023,Europe and Central Asia
Saint Helena,SHN,2023,Europe and Central Asia
Saint Kitts and Nevis,KNA,2023,Latin America and Caribbean
Saint Lucia,LCA,2023,Latin America and Caribbean
Saint Martin (French part),MAF,2023,Latin America and Caribbean
Saint Pierre and Miquelon,SPM,2023,North America
Saint Vincent and the Grenadines,VCT,2023,Latin America and Caribbean
Samoa,WSM,2023,East Asia and Pacific
San Marino,SMR,2023,Europe and Central Asia
Sao Tome and Principe,STP,2023,Sub-Saharan Africa
Saudi Arabia,SAU,2023,"Middle East, North Africa, Afghanistan and Pakistan"
Senegal,SEN,2023,Sub-Saharan Africa
Serbia,SRB,2023,Europe and Central Asia
Serbia and Montenegro,OWID_SRM,2023,Europe and Central Asia
Seychelles,SYC,2023,Sub-Saharan Africa
Sierra Leone,SLE,2023,Sub-Saharan Africa
Singapore,SGP,2023,East Asia and Pacific
Sint Maarten (Dutch part),SXM,2023,Latin America and Caribbean
Slovakia,SVK,2023,Europe and Central Asia
Slovenia,SVN,2023,Europe and Central Asia
Solomon Islands,SLB,2023,East Asia and Pacific
Somalia,SOM,2023,Sub-Saharan Africa
South Africa,ZAF,2023,Sub-Saharan Africa
South Georgia and the South Sandwich Islands,SGS,2023,Latin America and Caribbean
South Korea,KOR,2023,East Asia and Pacific
South Sudan,SSD,2023,Sub-Saharan Africa
Spain,ESP,2023,Europe and Central Asia
Sri Lanka,LKA,2023,South Asia
Sudan,SDN,2023,Sub-Saharan Africa
Suriname,SUR,2023,Latin America and Caribbean
